productionPriority,priorityScore,lessonTitle,pathway,pathwayId,slug,cluster,productionCluster,currentImageStatus,backlogReason,whyImageryNeeded,recommendedImageType,recommendedFilename,suggestedAltText,educationalRationale,seoRationale,clinicalImportance,visualComplexity,visualNecessity,seoImportance,educationalValue,trafficPotential,suggestedImagePrompt,productionNotes,matchedInventoryFilename,fallbackSourceUsed,sharedVisualSystemId,duplicateGroupId
CRITICAL,100,Potassium Emergencies: Hypo- vs Hyperkalemia,NCLEX-RN (United States),us-rn-nclex-rn,hypo-vs-hyperkalemia-hy,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: lab interpretation chart (Other clinical). Visual reinforcement improves retention.,lab_interpretation_chart,potassium-emergencies-hypo-vs-hyperkalemia.webp,Potassium Emergencies: Hypo- vs Hyperkalemia — clinical illustration,Visual necessity 58/100 — lab interpretation chart reinforces interpretation ladder with normal/abnormal bands — not raw number memorization only. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 82/100; slug ""hypo-vs-hyperkalemia-hy"". Flagship nursing search topic — strong organic discovery potential. NCLEX-RN (United States)",45,52,58,82,53,70,"Premium NurseNest clinical education illustration for ""Potassium Emergencies: Hypo- vs Hyperkalemia"". Type: lab interpretation chart. Cluster: Other clinical. Interpretation ladder with normal/abnormal bands — not raw number memorization only. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Interpretation ladder with normal/abnormal bands — not raw number memorization only.,,,lab_interpretation_panel,dup-0003
CRITICAL,100,ABG interpretation – PN scope,NCLEX-PN (US LPN / LVN),us-lpn-nclex-pn,us-pn-abg-interpretation,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: lab interpretation chart (Respiratory). Visual reinforcement improves retention.,lab_interpretation_chart,abg-interpretation-pn-scope.webp,ABG interpretation – PN scope — clinical illustration,Visual necessity 62/100 — lab interpretation chart reinforces interpretation ladder with normal/abnormal bands — not raw number memorization only. Cluster: Respiratory. High conceptual load; illustration reduces cognitive overload.,"SEO/traffic weight 82/100; slug ""us-pn-abg-interpretation"". Flagship nursing search topic — strong organic discovery potential. NCLEX-PN (US LPN / LVN)",55,59,62,82,60,70,"Premium NurseNest clinical education illustration for ""ABG interpretation – PN scope"". Type: lab interpretation chart. Cluster: Respiratory. Interpretation ladder with normal/abnormal bands — not raw number memorization only. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Interpretation ladder with normal/abnormal bands — not raw number memorization only.,,,abg_interpretation,dup-0018
CRITICAL,100,ABG Interpretation,NCLEX-RN (United States),us-rn-nclex-rn,us-rn-abg-interpretation,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: lab interpretation chart (Respiratory). Visual reinforcement improves retention.,lab_interpretation_chart,abg-interpretation.webp,ABG Interpretation — clinical illustration,Visual necessity 62/100 — lab interpretation chart reinforces interpretation ladder with normal/abnormal bands — not raw number memorization only. Cluster: Respiratory. High conceptual load; illustration reduces cognitive overload.,"SEO/traffic weight 82/100; slug ""us-rn-abg-interpretation"". Flagship nursing search topic — strong organic discovery potential. NCLEX-RN (United States)",55,59,62,82,60,70,"Premium NurseNest clinical education illustration for ""ABG Interpretation"". Type: lab interpretation chart. Cluster: Respiratory. Interpretation ladder with normal/abnormal bands — not raw number memorization only. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Interpretation ladder with normal/abnormal bands — not raw number memorization only.,,,abg_interpretation,dup-0018
CRITICAL,97,Fluid Deficit vs Overload,NCLEX-RN (Canada),ca-rn-nclex-rn,ca-rn-fluid-balance,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: comparison table (Other clinical). Visual reinforcement improves retention.,comparison_table,fluid-deficit-vs-overload.webp,Fluid Deficit vs Overload — clinical illustration,Visual necessity 49/100 — comparison table reinforces side-by-side comparison with consistent iconography across related lessons. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 68/100; slug ""ca-rn-fluid-balance"". Flagship nursing search topic — strong organic discovery potential. NCLEX-RN (Canada)",45,47,49,68,48,58,"Premium NurseNest clinical education illustration for ""Fluid Deficit vs Overload"". Type: comparison table. Cluster: Other clinical. Side-by-side comparison with consistent iconography across related lessons. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Side-by-side comparison with consistent iconography across related lessons.,,,comparison_matrix,dup-0010
CRITICAL,97,Fluid deficit vs excess (REx-PN /,REx-PN (Canada RPN),ca-rpn-rex-pn,ca-rpn-fluid-balance,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: comparison table (Other clinical). Visual reinforcement improves retention.,comparison_table,fluid-deficit-vs-excess-rex-pn.webp,Fluid deficit vs excess (REx-PN / — clinical illustration,Visual necessity 49/100 — comparison table reinforces side-by-side comparison with consistent iconography across related lessons. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 68/100; slug ""ca-rpn-fluid-balance"". Flagship nursing search topic — strong organic discovery potential. REx-PN (Canada RPN)",45,47,49,68,48,58,"Premium NurseNest clinical education illustration for ""Fluid deficit vs excess (REx-PN /"". Type: comparison table. Cluster: Other clinical. Side-by-side comparison with consistent iconography across related lessons. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Side-by-side comparison with consistent iconography across related lessons.,,,comparison_matrix,dup-0010
CRITICAL,97,Dehydration vs Hypovolemia,NCLEX-RN (Canada),ca-rn-nclex-rn,dehydration-vs-hypovolemia-nclex,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: comparison table (Other clinical). Visual reinforcement improves retention.,comparison_table,dehydration-vs-hypovolemia.webp,Dehydration vs Hypovolemia — clinical illustration,Visual necessity 49/100 — comparison table reinforces side-by-side comparison with consistent iconography across related lessons. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 68/100; slug ""dehydration-vs-hypovolemia-nclex"". Flagship nursing search topic — strong organic discovery potential. NCLEX-RN (Canada)",45,47,49,68,48,58,"Premium NurseNest clinical education illustration for ""Dehydration vs Hypovolemia"". Type: comparison table. Cluster: Other clinical. Side-by-side comparison with consistent iconography across related lessons. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Side-by-side comparison with consistent iconography across related lessons.,,,comparison_matrix,dup-0010
CRITICAL,97,Dehydration vs Hypovolemia,NCLEX-RN (United States),us-rn-nclex-rn,dehydration-vs-hypovolemia-nclex,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: comparison table (Other clinical). Visual reinforcement improves retention.,comparison_table,dehydration-vs-hypovolemia.webp,Dehydration vs Hypovolemia — clinical illustration,Visual necessity 49/100 — comparison table reinforces side-by-side comparison with consistent iconography across related lessons. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 68/100; slug ""dehydration-vs-hypovolemia-nclex"". Flagship nursing search topic — strong organic discovery potential. NCLEX-RN (United States)",45,47,49,68,48,58,"Premium NurseNest clinical education illustration for ""Dehydration vs Hypovolemia"". Type: comparison table. Cluster: Other clinical. Side-by-side comparison with consistent iconography across related lessons. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Side-by-side comparison with consistent iconography across related lessons.,,,comparison_matrix,dup-0010
CRITICAL,97,Sodium Disorders: Hyponatremia vs Hypernatremia,NCLEX-RN (Canada),ca-rn-nclex-rn,hyponatremia-vs-hypernatremia-hy,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: lab interpretation chart (Other clinical). Visual reinforcement improves retention.,lab_interpretation_chart,sodium-disorders-hyponatremia-vs-hypernatremia.webp,Sodium Disorders: Hyponatremia vs Hypernatremia — clinical illustration,Visual necessity 49/100 — lab interpretation chart reinforces interpretation ladder with normal/abnormal bands — not raw number memorization only. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 68/100; slug ""hyponatremia-vs-hypernatremia-hy"". Flagship nursing search topic — strong organic discovery potential. NCLEX-RN (Canada)",45,47,49,68,48,58,"Premium NurseNest clinical education illustration for ""Sodium Disorders: Hyponatremia vs Hypernatremia"". Type: lab interpretation chart. Cluster: Other clinical. Interpretation ladder with normal/abnormal bands — not raw number memorization only. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Interpretation ladder with normal/abnormal bands — not raw number memorization only.,,,lab_interpretation_panel,dup-0003
CRITICAL,97,Sodium Disorders: Hyponatremia vs Hypernatremia,NCLEX-RN (United States),us-rn-nclex-rn,hyponatremia-vs-hypernatremia-hy,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: lab interpretation chart (Other clinical). Visual reinforcement improves retention.,lab_interpretation_chart,sodium-disorders-hyponatremia-vs-hypernatremia.webp,Sodium Disorders: Hyponatremia vs Hypernatremia — clinical illustration,Visual necessity 49/100 — lab interpretation chart reinforces interpretation ladder with normal/abnormal bands — not raw number memorization only. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 68/100; slug ""hyponatremia-vs-hypernatremia-hy"". Flagship nursing search topic — strong organic discovery potential. NCLEX-RN (United States)",45,47,49,68,48,58,"Premium NurseNest clinical education illustration for ""Sodium Disorders: Hyponatremia vs Hypernatremia"". Type: lab interpretation chart. Cluster: Other clinical. Interpretation ladder with normal/abnormal bands — not raw number memorization only. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Interpretation ladder with normal/abnormal bands — not raw number memorization only.,,,lab_interpretation_panel,dup-0003
CRITICAL,97,Fluid deficit vs excess – PN,NCLEX-PN (US LPN / LVN),us-lpn-nclex-pn,us-pn-fluid-balance,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: comparison table (Other clinical). Visual reinforcement improves retention.,comparison_table,fluid-deficit-vs-excess-pn.webp,Fluid deficit vs excess – PN — clinical illustration,Visual necessity 49/100 — comparison table reinforces side-by-side comparison with consistent iconography across related lessons. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 68/100; slug ""us-pn-fluid-balance"". Flagship nursing search topic — strong organic discovery potential. NCLEX-PN (US LPN / LVN)",45,47,49,68,48,58,"Premium NurseNest clinical education illustration for ""Fluid deficit vs excess – PN"". Type: comparison table. Cluster: Other clinical. Side-by-side comparison with consistent iconography across related lessons. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Side-by-side comparison with consistent iconography across related lessons.,,,comparison_matrix,dup-0010
CRITICAL,97,Fluid Deficit vs Overload,NCLEX-RN (United States),us-rn-nclex-rn,us-rn-fluid-balance,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: comparison table (Other clinical). Visual reinforcement improves retention.,comparison_table,fluid-deficit-vs-overload.webp,Fluid Deficit vs Overload — clinical illustration,Visual necessity 49/100 — comparison table reinforces side-by-side comparison with consistent iconography across related lessons. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 68/100; slug ""us-rn-fluid-balance"". Flagship nursing search topic — strong organic discovery potential. NCLEX-RN (United States)",45,47,49,68,48,58,"Premium NurseNest clinical education illustration for ""Fluid Deficit vs Overload"". Type: comparison table. Cluster: Other clinical. Side-by-side comparison with consistent iconography across related lessons. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Side-by-side comparison with consistent iconography across related lessons.,,,comparison_matrix,dup-0010
CRITICAL,96,Potassium Imbalances,NCLEX-RN (Canada),ca-rn-nclex-rn,ca-rn-potassium-imbalance,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: lab interpretation chart (Other clinical). Visual reinforcement improves retention.,lab_interpretation_chart,potassium-imbalances.webp,Potassium Imbalances — clinical illustration,Visual necessity 46/100 — lab interpretation chart reinforces interpretation ladder with normal/abnormal bands — not raw number memorization only. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 68/100; slug ""ca-rn-potassium-imbalance"". Flagship nursing search topic — strong organic discovery potential. NCLEX-RN (Canada)",45,46,46,68,46,58,"Premium NurseNest clinical education illustration for ""Potassium Imbalances"". Type: lab interpretation chart. Cluster: Other clinical. Interpretation ladder with normal/abnormal bands — not raw number memorization only. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Interpretation ladder with normal/abnormal bands — not raw number memorization only.,,,lab_interpretation_panel,dup-0003
